 reviewerID,friendCount,reviewCount,firstCount,usefulCount,coolCount,funnyCount,complimentCount,tipCount,fanCount,No_Of_Reviews,P_Filtered
__s1DM5Q2RbK82BD_s8UqQ,2,1,0,0,0,0,0,0,0,1,0
__zD3-E1l1NZ8N2jKANzIw,0,1,0,0,0,2,0,0,0,1,0
_0Q0R2h4emdrI7ASTkN5Q,0,5,1,5,0,1,1,0,0,5,0
_14YU0mqUnSzbJmh1F0gXQ,0,3,0,1,1,0,0,0,0,3,0
_2gssQkH_2VSgGREKdPxJQ,0,2,0,0,0,0,0,0,0,2,0
_72QdatN4fPKO5QSNGFYRA,22,622,34,276,96,88,16,18,3,622,19.2253
_9TBjSCN6fGNOt4reiyQUA,0,2,0,0,0,0,0,0,0,2,0
_ac5Jc5p81oGAthKgK4Vxg,7,32,0,18,11,8,3,3,0,32,12.5
_acKjzya8vDMbHjV7UBvWw,3,5,0,2,2,2,0,0,0,5,16.6667
_aV7UzxVaMbaf1yVs2UKeQ,15,37,2,66,41,44,5,0,1,37,18.4211
_cIjpxMhacyT7RVkAE6uSg,77,5,0,3,3,1,0,0,1,5,0
_crXbz-jmEjkyyT95SAwug,14,61,4,60,20,22,7,0,1,61,14.2857
_efwv_wcRg4k5JQGfD7k5Q,4,24,1,5,1,0,1,2,0,24,4.16667
_eumwZECF4SuSXYR-A6_Jw,29,7,2,3,2,0,0,11,0,7,0
_-eUPtJ9e3EALUS-BPD5lw,3,8,1,11,1,2,0,0,0,8,12.5
_hmAJ6q9c7NVDnTgbrrTiA,12,18,1,8,4,0,0,0,0,18,0
_iZ43lzkLPr3IEWCtHysDg,66,136,7,231,167,113,126,15,9,136,11.6788
_jsZl-USMgrVVasNg50wAQ,0,1,0,0,0,0,0,5,0,1,0
_KGMFTUhJMBPru7fW8bUDQ,116,458,131,514,336,819,112,572,21,458,19.7397
_kjNNKOcqDFKZJjFvDIA-A,174,37,3,30,8,13,0,7,4,37,8.69565
_Mi6lUCszfbDd1UmkUtDJQ,11,54,0,18,10,11,4,1,0,54,6.89655
_N6KUsQH7ZRkXgK9KTWYQw,5,2,0,3,0,0,0,0,0,2,0
_Nc2ZL3fRjDUuOiq-1ebtQ,12,12,1,47,25,13,15,0,1,12,16.6667
_pvimNExIALQZhOZ675SDA,0,1,0,0,0,0,0,0,0,1,0
_QyxWXoCVVBvNUl6s9u9lQ,281,152,15,546,425,511,434,375,27,152,16.7742
_RcqNB6ND4-jD-z3QDis-A,2,51,1,27,10,10,2,0,0,51,17.5439
_RvEDmpbQZulEdAV590QKg,59,181,31,329,264,64,79,45,11,181,14.3646
_ToAnCus0a9kQVTbIz4CQg,0,4,0,0,0,0,0,0,0,4,0
_tuOThZgx3EB_rqBdIiT8A,0,21,6,24,2,11,0,0,0,21,13.0435
_x9rNt1XCvZ1SZudFNdbCA,39,1,0,6,4,5,1,0,0,1,0
_YH6rJGxcxc9nDY_-O2oiQ,10,26,0,10,3,8,0,0,0,26,14.8148
_yQNTblfvUhNPHGPtJgjEA,0,1,0,0,0,0,0,0,0,1,0
00xGfvalJOhzGMxbqErz-A,4,32,10,32,11,7,3,1,3,32,18.75
05A1WpXkjCbVHCodTSc6sg,15,112,2,119,76,130,50,0,5,112,18.75
05BdUNvpA0fHejnAuVdiGA,81,160,28,77,17,26,39,181,1,160,7.22892
0Azp_SdUc3JtGFW-nPk8NA,1,44,9,58,4,11,1,0,1,44,13.6364
0BxV_Ca2vPoOGOsRyHGyIw,0,8,0,0,1,1,0,0,0,8,12.5
0CcQ7b8AQkJMX7XVM1uyeg,3,4,0,0,0,0,0,0,1,4,0
0EMm8umAqXZzyhxNpL4M9g,2,11,0,6,0,1,0,0,0,11,14.2857
0Fb3SwjRT4nGn2oe931z0w,2,35,5,38,6,11,3,0,0,35,11.4286
0GLiS4oc9I-oGfpq6PiOFA,0,2,0,1,0,0,0,0,0,2,0
0GNzUcrdgVkGrt0MqjMLJw,8,198,16,118,48,26,17,36,2,198,19.1388
0G-QF457q_0Z_jKqh6xWiA,2630,1008,95,7928,6229,4972,9204,319,311,1008,15.0778
0gxnqGl4OoR2LlQ5ZjFmUw,17,11,2,0,0,1,1,39,2,11,9.09091
0hDy_Y29b_Np4CidP_aylQ,50,87,10,123,54,53,32,25,2,87,18.1818
0K_ciNGDpgG8ArnKNT7Tpg,1,5,0,7,1,3,1,0,0,5,16.6667
0k01TEGFh8RksBz31XQ95A,1,1,0,0,0,0,0,0,0,1,0
0K6O6kNB6WRpzG6Mcae_hQ,2,9,0,21,2,2,0,1,0,9,0
0kfN8zux3md_1TbdR4YJlA,14,119,42,151,48,53,17,0,1,119,14.2857
0OIeYssjv4xBDxaFRQEb1A,41,11,0,18,4,3,1,1,1,11,9.09091
0olssiUH8NXpfOb5si5Jxw,47,19,0,6,4,0,7,8,0,19,10
0oXZEyxKACuGhSU8R_RCww,20,35,10,28,7,12,12,8,2,35,5.71429
0pUL9qBO2glys5tHiYE96w,14,55,0,32,10,14,2,0,2,55,16.0714
0Qb1oyfXm1NLl9uxu5J6Ww,19,84,5,25,12,7,6,23,2,84,1.19048
0qjBRfKMs3_DexjzJByLig,4,17,0,2,3,4,2,10,1,17,13.6364
0ql-awhVLO50urRBZH74og,15,46,1,33,12,12,10,0,3,46,14.8148
0RHydUcTtkNjNu4VDIkPfg,0,1,0,0,0,0,0,0,0,1,0
0RiHSgIlmONpf0-IiqF08w,9,19,2,14,6,2,3,2,0,19,15
0SJQang-9Ihj4woRwMLUdg,0,8,5,0,0,0,1,0,0,8,0
0sq8zpoywn8i8hBHxeGHiQ,138,118,21,268,174,98,133,75,17,118,10.084
0u4FaQ0PHpQWiI1JH8j4Rg,4,12,0,11,3,2,1,0,0,12,7.69231
0UC-KOXuS857NwJCcpufUA,11,27,0,15,5,6,5,2,0,27,6.66667
0UhLg0lUFQswoSMCYNoFWQ,1,6,0,8,0,4,0,0,0,6,16.6667
0vdXVH2HlQUxE9FFFIE5DA,25,64,32,84,15,62,50,0,1,64,10.9375
0V-tJWxzc8L2Sl-aW-BLig,7,6,1,12,1,4,3,0,0,6,16.6667
16xw1CzKMxTnIthnaxzBfw,0,6,0,1,0,1,0,0,0,6,16.6667
19intZtsXumy7C7dnZa5oA,0,1,0,0,0,0,0,0,0,1,0
19nTk5eD-2GvUNVVzLbTFg,10,2,0,3,0,0,0,2,0,2,0
1BjI1-O1gxSt8TRO0yD8Gg,125,132,0,342,248,199,129,69,5,132,15.942
1D4Y2c2BR7PJIhx_nja6hA,29,6,0,1,1,0,14,11,0,6,16.6667
1e6akIPq7KL72_9OPqBG2w,16,40,1,55,35,35,7,2,1,40,0
1E8yYMhxYd-0-67ivMdVHw,2,7,0,3,1,1,1,0,0,7,0
1ehRzcXFcXgWeIEJE6ypag,5,1,0,0,0,0,0,0,0,1,0
1eJTd7TW9K7GCwfFUTgVVA,3,1,0,0,0,0,0,0,0,1,0
1fp4TdtPoQckV1nEUr1fiQ,4,12,0,15,7,9,0,0,0,12,16.6667
1GDNImiyd4NnzuDAs3v0_Q,9,64,10,41,6,8,7,10,0,64,10.7692
1iJ4HoDOGSeIdyZQG6Qzww,207,192,83,340,130,93,57,51,4,192,5.18135
